time [MJD]                x [AU]                    y [AU]                    z [AU]                   
47941.8296693866          -0.865200126807044        0.478538578414121         -1.62686223394988e-05    
47942.3555953125          -0.869651585346836        0.470643118914196         -6.44182453478171e-07    
47942.8815212384          -0.874095645879493        0.462564780306626         5.25818048227803e-05     
47943.4074473611          -0.878451169215916        0.454524621207569         -3.52354729525549e-05    
47943.933373287           -0.882686994742331        0.446485861580689         2.6765616066534e-05      
47944.459299213           -0.886920864964754        0.438276804781069         3.04674569690183e-05     
47944.9852251389          -0.891028843443444        0.430165726134992         -3.8178406477744e-05     
47945.5111510648          -0.895056637267554        0.42197060600875          4.76951084815285e-05     
47946.0370769907          -0.899063474529849        0.413666078973124         3.00569508821647e-07     
47946.5630029167          -0.902927306387933        0.40547183694676          -2.43562192997737e-05    
47947.0889288426          -0.90674796153861         0.397122994488278         5.40299011421915e-05     
47947.6148547685          -0.910512686794857        0.388753970720672         -2.73983963408197e-05    
47948.1407806945          -0.914140755251233        0.380454920919246         8.78526378231896e-07     
47948.6667066204          -0.917747850475689        0.371972727671334         4.29444518622015e-05     
47949.1926325463          -0.921261082438436        0.363556826828221         -4.29433633371867e-05    
47949.7185585185          -0.924662484297501        0.355132003379619         2.79178960813205e-05     
47950.2444844444          -0.928044401969997        0.346550111113025         1.79664364968521e-05     
47950.7704103704          -0.931304104712077        0.338087139019571         -4.09372963328455e-05    
47951.2963362963          -0.934484719670085        0.329526539955554         4.63822015547335e-05     
47951.8222622222          -0.937628376884829        0.320882331365019         -1.21290239903392e-05    
47952.3481881482          -0.940638909364984        0.312356227296869         -2.23220724474497e-05    
47952.8741140741          -0.943599108347795        0.303667451567836         4.90528846694591e-05     
47953.40004               -0.946493874435076        0.294990642906218         -3.64879633569105e-05    
47953.9259659259          -0.949263026755863        0.286377530340736         5.85354967391186e-06     
47954.4518918519          -0.951997677734259        0.277585989240146         3.46171597330316e-05     
47954.9778177778          -0.954637956590261        0.268889902391587         -4.62277063426936e-05    
47955.5037437037          -0.957173293540024        0.260169374258024         3.29228674186542e-05     
47956.0296696296          -0.959673743447446        0.251311846275239         8.19180490290364e-06     
47956.5555955556          -0.96205951276319         0.242590552057744         -3.77627889346434e-05    
47957.0815214815          -0.964365445058368        0.233756006691066         4.86124919499933e-05     
47957.6074474074          -0.966622498670338        0.224869602424897         -2.04395440516884e-05    
47958.1333733333          -0.968757934813833        0.216102193987357         -1.41814784207824e-05    
47958.6592993056          -0.970834443767894        0.207166211787288         4.69387712259718e-05     
47959.1852252315          -0.972841050959086        0.198276887022452         -4.05126571614594e-05    
47959.7111511574          -0.974732028053991        0.189437526930617         1.57324033597972e-05     
47960.2370770833          -0.976575217427387        0.180430074463058         2.84323040137381e-05     
47960.7630030093          -0.978327916222828        0.171545087965523         -4.43604936624695e-05    
47961.2889289352          -0.979979503261802        0.16261520798232          4.0671367896442e-05      
47961.8148548611          -0.981583342951634        0.153575160513031         3.58018751774058e-08     
47962.340780787           -0.983082209448311        0.144682366050932         -3.04083570685091e-05    
47962.866706713           -0.984497055498429        0.135660390022047         5.11211999604371e-05     
47963.3926326389          -0.985855462163538        0.126623289183588         -2.74603324522935e-05    
47963.918558588           -0.987102927211234        0.117697889271024         -3.84740885106446e-06    
47964.4444845139          -0.988280933621504        0.108602585936877         4.29943342900489e-05     
47964.9704104398          -0.989389294031673        0.0995894521856266        -4.35476732892034e-05    
47965.4963363657          -0.990388580451269        0.0906057292046009        2.51369381102433e-05     
47966.0222622917          -0.991327599991111        0.0814718987251683        1.91895760270016e-05     
47966.5481882176          -0.992183312270819        0.0724834267340301        -4.21358524664223e-05    
47967.0741141435          -0.992937226477466        0.0634271055536697        4.52344668783127e-05     
47967.6000400695          -0.993634180792126        0.0542949110895409        -1.13891213320582e-05    
47968.1259659954          -0.994236358939947        0.0453133979377757        -2.38735867670272e-05    
47968.6518919213          -0.994746814433475        0.0361897969847595        4.83862369650952e-05     
47969.1778178472          -0.995198566663045        0.0270918265240534        -3.72040882968275e-05    
47969.7037437732          -0.99554742601918         0.0180902739266713        3.97368413132369e-06     
47970.2296696991          -0.995815595019913        0.00892503835880802       3.2915335876808e-05      
47970.755595625           -0.996019255848822        -0.000123796042828044     -4.85600440495646e-05    
47971.2815215509          -0.996115724021408        -0.00916878281123212      3.02482981123246e-05     
47971.8074475             -0.996142317919341        -0.0183366847047942       4.24893566629514e-06     
47972.3333734259          -0.996095153586755        -0.0273425695073441       -4.13634267083568e-05    
47972.8592993519          -0.995940935967656        -0.0364390392450666       4.41387675721972e-05     
47973.3852252778          -0.995726183839174        -0.0455696269884341       -2.69442785302834e-05    
47973.9111512037          -0.995425598942933        -0.0545551064749556       -1.87510614371951e-05    
47974.4370771296          -0.995023504401552        -0.0636896214756213       3.95320970588709e-05     
47974.9630030556          -0.994566694889247        -0.0727549979079326       -4.8757389564568e-05     
47975.4889289815          -0.994010751210925        -0.0817475097737781       9.91817018236115e-06     
47976.0148549074          -0.993364757417204        -0.0908873755652775       1.76165615679262e-05     
47976.5407808333          -0.992663747479434        -0.0998801478986102       -5.29825845893448e-05    
47977.0667067593          -0.99185220900592         -0.108898307470009        3.27831591458072e-05     
47977.5926326852          -0.99096686497058         -0.118001646579647        -1.34399040150392e-05    
47978.1185586111          -0.990018043128907        -0.126935129086294        -3.82897608379761e-05    
47978.644484537           -0.988953537312779        -0.135978594629452        4.0260893419986e-05      
47979.170410463           -0.987832586974792        -0.145008187811535        -4.16195031634723e-05    
47979.6963363889          -0.986631749578112        -0.15390845517866         -1.07895168626058e-05    
47980.2222623148          -0.985320286693719        -0.162955258846343        2.89041081923882e-05     
47980.7481882407          -0.983964977783344        -0.171890669917534        -5.58616302475118e-05    
47981.2741141667          -0.982509162132599        -0.180783450830261        1.82602714939918e-05     
47981.8000400926          -0.980959265538559        -0.189795882948355        2.88898768895566e-06     
47982.3259660185          -0.979367268480773        -0.198638975147279        -5.05976998357139e-05    
47982.8518919444          -0.977656911161421        -0.207536615740787        3.6905762219686e-05      
47983.3778178704          -0.975877296576999        -0.2164736220547          -2.74722027868427e-05    
47983.9037437963          -0.974043147256091        -0.225245054020372        -2.79757467213731e-05    
47984.4296697222          -0.972083560821227        -0.234138929243858        3.74227573819181e-05     
47984.9555956482          -0.970080091737012        -0.242969991863025        -4.98676697462876e-05    
47985.4815215509          -0.967997429085807        -0.251698189400198        2.88474987735653e-06     
47986.0074474769          -0.965798625592555        -0.260559509260797        1.94480793652488e-05     
47986.5333734028          -0.963571864368876        -0.269274369949367        -5.51319404395285e-05    
47987.0592993287          -0.961236837727611        -0.277981396335675        2.94333324145351e-05     
47987.5852252546          -0.958811209805258        -0.286770309518552        -9.73839908272681e-06    
47988.1111511806          -0.956355885693119        -0.295380443409652        -4.10120463993256e-05    
47988.6370771065          -0.953770298494494        -0.304070645913739        4.07911861994956e-05     
47989.1630030324          -0.951128665399181        -0.312750000910573        -3.81138873514791e-05    
47989.6889289583          -0.948435716752612        -0.321281330415242        -1.31343311072823e-05    
47990.2148548843          -0.945608373012147        -0.329937264992844        3.22013103988621e-05     
47990.7407808102          -0.942755916603055        -0.338485317516998        -5.38987353705026e-05    
47991.2667067361          -0.939816717918477        -0.34696510877107         1.70976333888783e-05     
47991.7926326389          -0.936761901502862        -0.355552277143562        7.05063799813163e-06     
47992.3185585648          -0.933695885234173        -0.363969068768625        -5.0573970522915e-05     
47992.8444844907          -0.93050709098675         -0.372412391667763        3.70655339975654e-05     
47993.3704104167          -0.927240249876407        -0.380891123922112        -2.4365782736079e-05     
47993.8963363426          -0.923950969728407        -0.389195789844536        -2.95421005697333e-05    
47994.4222622685          -0.920517825197047        -0.397597165737233        3.82222271564897e-05     
47994.9481881944          -0.917049990550127        -0.405936641797232        -4.90817446314242e-05    
47995.4741141204          -0.913525013866921        -0.414156932970171        3.36325753675721e-07     
47996.0000400463          -0.909861437553006        -0.422490374419969        1.96790355804211e-05     
47996.5259659722          -0.90619479117989         -0.430678908516583        -5.70115532758757e-05    
47997.0518918981          -0.902425097348577        -0.438837233713372        2.62572458110171e-05     
47997.5778178241          -0.898549884945723        -0.44706480295447         -1.12375302305426e-05    
47998.10374375            -0.894676742265704        -0.455111950150407        -4.5155733638782e-05     
47998.6296696759          -0.890662207966581        -0.463213875588319        3.6842187290591e-05      
47999.1555956019          -0.886592496465414        -0.471299223681364        -4.19224727140379e-05    
47999.6815215278          -0.882498591298666        -0.479229021857936        -1.88263862116019e-05    
48000.2074474537          -0.8782503342741          -0.487258861734229        2.70003034268466e-05     
48000.7333733796          -0.873994989298941        -0.495179945734737        -5.98079819837833e-05    
48001.2592993056          -0.869666197222856        -0.503018239581803        1.04297761942581e-05     
48001.7852252315          -0.865204297430954        -0.51094337253072         2.45961676900475e-07     
48002.3111511574          -0.860760301217163        -0.518698969872656        -5.77692493033221e-05    
48002.8370770833          -0.856190175649326        -0.526460157246403        2.96078776469257e-05     
48003.3630030093          -0.8515370979427          -0.534242522939033        -3.2558516800019e-05     
48003.8889289352          -0.846891025978831        -0.5418497555773          -3.70260427586673e-05    
